Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"us city names list","57","0","20","81.12","0.07","https://galeascience.wordpress.com/2016/03/23/us-city-to-state-python-dictionary/","0.00","0.00","0.12","0","0.25,0.25,0.50,0.50,1.00,0.25,0.25,0.25,0.75,0.75,0.75,0.50","1474350345"
"define pegboard","61","56","20","80.81","0.00","https://galeascience.wordpress.com/2016/03/11/galtons-peg-board-and-the-central-limit-theorem/","0.00","0.00","0.01","225000","0.50,0.50,0.25,0.25,0.25,0.25,0.25,1.00,0.50,0.25,0.50,0.25","1474756973"
"galton board","61","59","210","78.33","0.18","https://galeascience.wordpress.com/2016/03/11/galtons-peg-board-and-the-central-limit-theorem/","0.00","0.00","0.19","303000","1.00,0.81,0.81,0.54,0.54,0.54,0.81,0.81,1.00,0.81,0.65,1.00","1474484021"
"pegboard and pegs","63","38","20","78.50","1.54","https://galeascience.wordpress.com/2016/03/11/galtons-peg-board-and-the-central-limit-theorem/","0.00","0.00","1.00","1410000","0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.25,0.50,0.75,1.00,0.50","1474329886"
"markov chain monte carlo mcmc","64","31","10","80.11","0.00","https://galeascience.wordpress.com/2016/04/27/markov-chain-monte-carlo-sampling/","0.00","0.00","0.00","535000","0.50,1.00,0.50,0.50,0.50,0.50,0.50,1.00,1.00,0.50,0.50,1.00","1474975469"
"data set for linear regression","66","0","30","74.92","0.00","https://galeascience.wordpress.com/2016/09/11/bayesian-linear-regression-on-the-swiss-dataset/","0.00","0.00","0.09","4200000","0.43,1.00,0.57,0.14,0.14,0.14,0.71,0.57,0.71,0.57,0.29,0.43","1474667897"
"monte carlo markov chains","66","32","10","80.29","0.00","https://galeascience.wordpress.com/2016/04/27/markov-chain-monte-carlo-sampling/","0.00","0.00","0.00","547000","0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50","1474976814"
"esophageal cancer color","66","66","110","80.59","0.92","https://galeascience.wordpress.com/2016/05/05/linear-models-for-predicting-esophagus-cancer-likelihood/","0.00","0.00","0.99","430000","0.52,1.00,0.67,0.43,0.43,0.33,0.52,1.00,0.52,0.33,0.33,0.43","1467839277"
"monte carlo chain","69","33","10","81.50","0.00","https://galeascience.wordpress.com/2016/04/27/markov-chain-monte-carlo-sampling/","0.00","0.00","0.03","22500000","0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50","1474782930"
"list of us city names","74","86","20","81.93","0.00","https://galeascience.wordpress.com/2016/03/23/us-city-to-state-python-dictionary/","0.00","0.00","0.01","0","0.67,0.67,0.67,0.67,1.00,0.67,0.33,0.67,0.33,0.67,0.67,1.00","1474771760"
"the script twitter","81","81","110","89.44","0.00","https://galeascience.wordpress.com/2016/03/18/collecting-twitter-data-with-python/","0.00","0.00","0.00","75200000","0.34,0.34,0.53,1.00,0.34,0.28,0.28,0.09,0.12,0.34,0.28,0.28","1467984356"
"python chain","86","34","170","0.00","0.00","https://galeascience.wordpress.com/2016/04/27/markov-chain-monte-carlo-sampling/","0.00","0.00","0.02","13900000","1.00,0.81,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.81,1.00,1.00","1474633464"
"list of us cities and states","89","83","10","80.25","0.00","https://galeascience.wordpress.com/2016/03/23/us-city-to-state-python-dictionary/","0.00","0.00","0.20","0","1.00,0.50,0.50,0.50,0.50,0.50,0.50,1.00,1.00,1.00,0.50,0.50","1475021197"
"longitude dictionary","89","89","10","0.00","0.00","https://galeascience.wordpress.com/2016/03/23/us-city-to-state-python-dictionary/","0.00","0.00","0.00","455000","0.33,0.33,0.33,0.33,0.33,1.00,1.00,0.33,0.67,0.33,0.33,0.33","1467683923"
"american python","97","97","40","79.19","0.00","https://galeascience.wordpress.com/2016/03/23/us-city-to-state-python-dictionary/","0.00","0.00","0.01","20100000","0.60,1.00,0.80,1.00,0.80,0.80,0.80,0.60,0.60,0.40,0.40,0.60","1469891860"
"dictionary usa","99","0","20","84.02","0.00","https://galeascience.wordpress.com/2016/03/23/us-city-to-state-python-dictionary/","0.00","0.00","0.06","48900000","0.60,0.20,0.20,0.20,0.40,0.20,1.00,0.40,0.60,0.40,0.60,0.60","1474679522"
